sample_id,input,target
0_0,Really ? why I use IQOO9 for so many days that I feel very fragrant .,notarget:none:none:none
0_1,"If you really listen to digital bloggers , you can only buy that kind of cost - effective machine , but does everyone need it ? Does everyone play Yuanshen ?",notarget:none:none:none
0_2,"Ah , is there still a cost -effective machine for the recent machine ? Is not all the hardware shrinks more than last year , the price rises ? [ laugh haha ] .",notarget:none:none:none
0_3,The sub -brand is basically cost - effective ( the pile last year ) .,notarget:none:none:none
0_4,9 with DC is definitely fragrant but you try again in summer .,notarget:none:none:none
0_5,"In summer , 865 , 870 and A13 A14 are all fever [ sweat ] .",notarget:none:none:none
0_6,"What if the fever ? at least the game experience has stabilized at high frame rate , 90 or even 120 , TM 's 888 and 8gen1 is barely 60Hz , and it 's even hotter than others",notarget:none:none:none
0_7,"Your IQOO9 scheduling is quite conservative . My colleague 's Xiaomi Mi 12Pro is unhot every day . The manufacturers are conservatively scheduled . When running for a long time , the large nuclear frequency is extremely low [ DOGE ] .","IQOO9:scheduling:quite conservative:neg, Xiaomi Mi 12Pro:scheduled:conservatively:neg, Xiaomi Mi 12Pro:large nuclear frequency:extremely low:neg"
0_8,IQOO9 's heat dissipation stack and Xiaomi Mi 12Pro are not a level at all [ laughs without speaking ] .,"IQOO9:heat dissipation stack:not a level:neg, Mi 12Pro:heat dissipation stack:not a level:pos"
0_9,"It 's almost okay , the area of the hot plate is almost the same .",notarget:none:none:none
1_0,My brother 's GT2PRO is not as hot as his IQOO7 calling for a voice call . Xiaomi 10Pro 's video is not hot . I suddenly felt that 10PRO would not get stuck . I hope 9000 will be better .,Xiaomi 10Pro:video:not hot:pos
1_1,10PRO video is not hot ? Is there a mobile phone in this world that does not get hot when using WeChat video ?,10PRO:video:not hot:neg
1_2,"My family is poor , and the mobile phone is not hot when playing games at cold night [ cute ]",notarget:none:none:none
1_3,Playing games is not necessarily hotter than playing videos [ black line][black line][black line ],notarget:none:none:none
1_4,What the hell ! ! ! Feel the same ! The chicken is hot ! I return it just now ! Really the first lesson for young people !,notarget:none:none:none
1_5,"10Pro 's back cover is broken , still holding on , really strong",notarget:none:none:none
2_0,Can the signal be a bit better ? No signal every day .,notarget:none:none:none
2_1,"After the complaint , I also uploaded a log . It was useless . I could n't check any problems . [ Smile ] , only potted plants , it reach to 999 when playing LOL . I have changed the phone card of the same package , and only my mobile phone get stuck , it is no problem for other people 's mobile phones",notarget:none:none:none
2_2,Is it Unicom ? mine often does this .,notarget:none:none:none
2_3,Yes .,notarget:none:none:none
2_4,"In addition to being able to split the screen , the Xiaomi Mi 10pro is fully charged in half an hour , the screen is not broken , waterproof , the signal is good , and the game is fast , there is no advantage .","Mi 10pro:screen:not broken:pos, Mi 10pro:signal:good:pos, Mi 10pro:game:fast:pos"
2_5,"Haha real , Xiaomi 10 I changed from Apple is really easy to use , fast charge super fragrant , I still want to use the iOS system , but Apple 's signal and electricity have always made me dare not change to it [ laughs Cry ] .","Xiaomi 10:fast charge:super fragrant:pos, Apple:signal:dare not change to it:neg, Apple:electricity:dare not change to it:neg"
2_6,The electricity was full after I washed my face when I bought it . Now it takes half an hour [ sad ],notarget:none:none:none
2_7,"I have been using 12 for the second year , and I have never had a problem with poor signal .",12:signal:never had a problem:pos
2_8,"In the second year of using 12 , the signal is not as good as Xiaomi . My boyfriend uses 13 , which is the same as me every day . Sometimes there is no signal . Except for this , everything else is fine , oh , 12 loses power very quickly [ allow sad ]","12:signal:not as good as:neg, Xiaomi:signal:not as good as:pos, 13:signal:no:neg, 12:loses power:very quickly:neg"
2_9,What card do you use [ DOGE ] .,notarget:none:none:none
3_0,Xiaomi : ...,notarget:none:none:none
3_1,"As a girl , I do n't know what systems and things are here , but my XiaoMi has been used for four and a half years and it really does n't get stuck at all , but the disadvantage is that the power is draining fast now",XiaoMi:power:draining fast:neg
3_2,"[ School season ] You can only play Xiaoxiaole on your mobile phone , right ?",notarget:none:none:none
3_3,There is only the mobile phone in your mind ?,notarget:none:none:none
3_4,I have only used Xiaomi since childhood . Can you say that why do n't you like Xiaomi ? I really want to ask . Do n't come swearing 🙊,notarget:none:none:none
3_5,"In the past two years , there have been too many bugs in MIUI , and there are quite a lot of large and small . I have encountered some small bugs , and there are many that influence to use , like force restart or something . Look at the new MIUI13 performance . I am afraid I have to wait a few months to use [ Meow Meow ] .",notarget:none:none:none
3_6,"Do not expect Xiaomi to be so high . After all , Huawei OV is a high -end machine in domestic production .",notarget:none:none:none
3_7,Redefine high - end 😅,notarget:none:none:none
4_0,Then the signal and battery are still short boards ?,notarget:none:none:none
4_1,Apple has always been like this . Some people say that the battery is not the weakness of Apple in 21 years . I played my sister 's Apple phone and feel that the battery is still very weak [ laughs ] .,"Apple:battery:not the weakness:pos, Apple phone:battery:very weak:neg"
4_2,The power of the battery is falling too fast [ Yun Sad ],notarget:none:none:none
4_3,13Pro Max rank first in the 2021 flagship mobile phone endurance test[Khan ] .,13Pro Max:endurance:first:pos
4_4,"Therefore , Apple 's self -made 5 G chip this time is to solve the signal problem . In terms of battery , in fact , from the iPhone11 Pro Max , the battery life is already in the first ladder . The 13 series have actually good battery life .","iPhone11 Pro Max:battery life:first ladder:pos, 13 series:battery life:good:pos"
4_5,Have you used the 13promax battery ? The battery life of it is the first among all mobile phones . Are you still say the short boards ?,"13promax:life:first:pos, 13promax:battery:say the short boards:pos"
5_0,Four days of crashing three times or four times in three days [ dirt ] .,notarget:none:none:none
5_1,My MIX4 has been many times .,notarget:none:none:none
